authority_code,statutory_ref,act_treaty,entry_class
"254001","Various Statutes","January 11, 1921","Cot-Private Laws"
"254099","","NA","To Be Defined-Cot"
"254100","45 Stat. 1069","December 22, 1928","Cot-Class 1 and 2"
"254200","36 Stat. 896","February 3, 1911","Cot-New Mexico"
"254300","42 Stat. 992","September 21, 1922","Cot-Errone Meander-Arkansas"
"254350","54 Stat. 861","August 27, 1940","Cot-Errone Meander-FL"
"254400","43 Stat. 951","February 19, 1925","Cot-Errone Meander-LA"
"254500","68 Stat. 789","August 24, 1954","Cot-Errone MeanderWi"
"254600","76 Stat. 89","May 31, 1962","Cot-IDO Omitted Snake River"
"254700","90 Stat. 2743","October 21, 1976","Cot-Omitted Land Flpma"
"254800","41 Stat. 630","May 29, 1920","Cot-Errone Meander Snake-ID"
"254900","45 Stat. 1188","February 16, 1929","Cot-MI"
"255000","76 Stat. 1127","October 23, 1962","Mining Claim Occupation Act"
"256099","","NA","To Be Defined"
"256100","34 Stat. 197","May 17, 1906","Alaska Native Allotment"
"256200","30 Stat. 413","May 14, 1898","Trade and Mfg Site"
"256301","44 Stat. 1364","March 3, 1927","Headquarters Site"
"256302","48 Stat. 809","March 26, 1934","Homesite Alaska"
"256400","44 Stat. 629","May 25, 1926","Native Townsite"
"256401","","June 8, 1955","Native Townsite"
"256500","26 Stat.1095","March 3, 1891","Townsite-Non Native"
"256600","38 Stat. 305","March 12, 1914","Alaska RR Townsite"
"256601","38 Stat. 305","March 12, 1914","Cemetery Reserve"
"256602","38 Stat. 305","March 12, 1914","RR-Railroad Term Res"
"256700","30 Stat. 409","May 14, 1898","He Alaska"
"260010","Various Statutes","NA","Grant-State Specific Laws"
"261000","5 Stat. 607","March 17, 1842","Scrip or Nature of Scrip"
"261001","9 Stat. 520","September 28, 1850","ScripWarrant Act of 1850"
"261002","10 Stat. 3","March 22, 1852","ScripWarrant Act of 1852"
"261003","9 Stat. 123","February 11, 1847","ScripWarrant Act of 1847"
"261004","2 Stat. 728","May 6, 1812","ScripWarrant Act of 1812"
"261005","5 Stat. 497","July 27, 1842","ScripWarrant Act 1842"
"261006","10 Stat. 701","March 3, 1855","ScripWarrant Act of 1855"
"261010","1 Stat. 182","August 10, 1790","Scrip Warrant Act of 1790"
"261011","1 Stat. 480","June 1, 1796","United Brethren Warrant Act"
"261012","1 Stat. 100","February 1801","Canadian Refugee Warrant Act"
"261099","","NA","To Be Defined-Scrip"
"261101","33 Stat. 813","February 24,1905","Scrip-Certain Homestead E in"
"262000","43 CFR part 2620","NA","State Grants"
"262001","3 Stat. 489","March 2, 1819","Alabama Enabling Act"
"262002","72 Stat. 339","July 7, 1958","Alaska Statehood Act"
"262003","5 Stat. 58","June 23, 1836","Arkansas Enabling Act"
"262004","10 Stat. 155","February 9, 1853","Gt-Arkansas and Missouri"
"262007","11 Stat. 383","February 14, 1859","Oregon-Act of Admission"
"262008","9 Stat. 496","September 27, 1850","Oregon-Donation Act (grant)"
"262009","9 Stat. 323","August 14, 1848","Oregon-Lieu Selection"
"262010","","NA","OR-Common School Lieu"
"262012","17 Stat. 226","June 5, 1872","MT-ND-SD-WA Enabling Act"
"262013","10 Stat. 172","March 2, 1853","Washington-Lieu Selection"
"262020","13 Stat. 30","March 21, 1864","Nevada Enabling Act"
"262021","5 Stat. 453","September 4, 1841","Nevada-Grant of Certain Land"
"262022","21 Stat. 287","June 16, 1880","Nevada-Lieu Selection"
"262025","18 Stat. 474","March 3, 1875","Colorado Enabling Act"
"262026","5 Stat. 453","September 4, 1841","Grant-Certain Land to State"
"262027","13 Stat. 47","April 19, 1864","Nebraska Enabling Act"
"262031","102 Stat. 2712","October 28, 1988","Gt-Michigan Public Lands"
"262032","104 Stat. 1020","January 23, 1990","Gt-Minnesota Public Land"
"262044","10 Stat. 244","March 3, 1853","California Enabling Act"
